| Puzzle     | Elapsed Time (s)     | CPU Time (s)         | Peak Memory Usage (MB)    |
| 238        | 0.032898             | 0.015625             | 4.390625                  |
| 239        | 0.031049             | 0.000000             | 4.390625                  |
| 240        | 0.034846             | 0.000000             | 4.390625                  |
| 241        | 0.036706             | 0.015625             | 4.390625                  |
| 242        | 0.032109             | 0.031250             | 4.390625                  |
| 243        | 0.033878             | 0.000000             | 4.390625                  |
| 244        | 0.033422             | 0.015625             | 4.390625                  |
| 245        | 0.031953             | 0.000000             | 4.390625                  |
| 246        | 0.034502             | 0.015625             | 4.390625                  |
| 247        | 0.033602             | 0.015625             | 4.390625                  |
| 248        | 0.033996             | 0.000000             | 4.390625                  |
| 249        | 0.033432             | 0.015625             | 4.390625                  |
| 250        | 0.036100             | 0.000000             | 4.390625                  |
| 251        | 0.033594             | 0.000000             | 4.390625                  |
| 252        | 0.033089             | 0.000000             | 4.390625                  |
| 253        | 0.033856             | 0.015625             | 4.390625                  |
| 254        | 0.031694             | 0.000000             | 4.390625                  |
| 255        | 0.034666             | 0.000000             | 4.390625                  |
| 256        | 0.033257             | 0.015625             | 4.390625                  |
| 257        | 0.032889             | 0.015625             | 4.390625                  |
| 258        | 0.030310             | 0.000000             | 4.390625                  |
| 259        | 0.036919             | 0.000000             | 4.390625                  |
| 260        | 0.033175             | 0.000000             | 4.390625                  |
| 261        | 0.035779             | 0.000000             | 4.390625                  |
| 262        | 0.035270             | 0.015625             | 4.390625                  |
| 263        | 0.033045             | 0.000000             | 4.390625                  |
| 264        | 0.036479             | 0.031250             | 4.390625                  |
| 265        | 0.032903             | 0.015625             | 4.390625                  |
| 266        | 0.035647             | 0.000000             | 4.390625                  |
| 267        | 0.031909             | 0.015625             | 4.398438                  |
| 268        | 0.031880             | 0.015625             | 4.398438                  |
| 269        | 0.036619             | 0.000000             | 4.398438                  |
| 270        | 0.033342             | 0.000000             | 4.398438                  |
| 271        | 0.034237             | 0.000000             | 4.398438                  |
| 272        | 0.034223             | 0.015625             | 4.398438                  |
| 273        | 0.032548             | 0.015625             | 4.398438                  |
| 274        | 0.034945             | 0.000000             | 4.398438                  |
| 275        | 0.031993             | 0.000000             | 4.398438                  |
| 276        | 0.032195             | 0.000000             | 4.398438                  |
| 277        | 0.037126             | 0.000000             | 4.398438                  |
| 278        | 0.034887             | 0.000000             | 4.398438                  |
| 279        | 0.033356             | 0.000000             | 4.398438                  |
| 280        | 0.032833             | 0.000000             | 4.398438                  |
| 281        | 0.031725             | 0.000000             | 4.398438                  |
| 282        | 0.033606             | 0.000000             | 4.398438                  |
| 283        | 0.035168             | 0.000000             | 4.398438                  |
| 284        | 0.033328             | 0.000000             | 4.398438                  |
| 285        | 0.034783             | 0.000000             | 4.398438                  |
| 286        | 0.033257             | 0.015625             | 4.398438                  |
| 287        | 0.031966             | 0.015625             | 4.398438                  |
| 288        | 0.032716             | 0.031250             | 4.398438                  |
| 289        | 0.031923             | 0.000000             | 4.398438                  |
| 290        | 0.033852             | 0.015625             | 4.398438                  |
| 291        | 0.040077             | 0.015625             | 4.398438                  |
| 292        | 0.033514             | 0.015625             | 4.398438                  |
| 293        | 0.035154             | 0.000000             | 4.398438                  |
| 294        | 0.035868             | 0.000000             | 4.398438                  |
| 295        | 0.042346             | 0.000000             | 4.398438                  |
| 296        | 0.036173             | 0.000000             | 4.398438                  |
| 297        | 0.034813             | 0.000000             | 4.398438                  |
| 298        | 0.033116             | 0.000000             | 4.398438                  |
| 299        | 0.032334             | 0.000000             | 4.398438                  |
| 300        | 0.033568             | 0.000000             | 4.398438                  |
| 301        | 0.035802             | 0.000000             | 4.398438                  |
| 302        | 0.031010             | 0.000000             | 4.398438                  |
| 303        | 0.033297             | 0.000000             | 4.398438                  |
| 304        | 0.035410             | 0.000000             | 4.398438                  |
| 305        | 0.032808             | 0.000000             | 4.398438                  |
| 306        | 0.033302             | 0.000000             | 4.398438                  |
| 307        | 0.033074             | 0.015625             | 4.398438                  |
| 308        | 0.033527             | 0.015625             | 4.398438                  |
| 309        | 0.030873             | 0.031250             | 4.398438                  |
| 310        | 0.037705             | 0.015625             | 4.398438                  |
| 311        | 0.033938             | 0.015625             | 4.398438                  |
| 312        | 0.032372             | 0.000000             | 4.398438                  |
| 313        | 0.033367             | 0.000000             | 4.398438                  |
| 314        | 0.036583             | 0.015625             | 4.398438                  |
| 315        | 0.032952             | 0.015625             | 4.398438                  |
| 316        | 0.034399             | 0.000000             | 4.398438                  |
| 317        | 0.036413             | 0.015625             | 4.398438                  |
| 318        | 0.033607             | 0.015625             | 4.398438                  |
| 319        | 0.032097             | 0.015625             | 4.398438                  |
| 320        | 0.032279             | 0.000000             | 4.398438                  |
| 321        | 0.031122             | 0.000000             | 4.398438                  |
| 322        | 0.034545             | 0.015625             | 4.398438                  |
| 323        | 0.033710             | 0.015625             | 4.398438                  |
| 324        | 0.034136             | 0.000000             | 4.398438                  |
| 325        | 0.034783             | 0.000000             | 4.398438                  |
| 326        | 0.032739             | 0.015625             | 4.398438                  |
| 327        | 0.031752             | 0.000000             | 4.398438                  |
| 328        | 0.032692             | 0.015625             | 4.398438                  |
| 329        | 0.033989             | 0.000000             | 4.398438                  |
| 330        | 0.031000             | 0.000000             | 4.398438                  |
| 331        | 0.032217             | 0.000000             | 4.398438                  |
| 332        | 0.034106             | 0.000000             | 4.398438                  |
| 333        | 0.030445             | 0.015625             | 4.398438                  |
| 334        | 0.033450             | 0.031250             | 4.398438                  |
| 335        | 0.031677             | 0.000000             | 4.398438                  |
| 336        | 0.034771             | 0.000000             | 4.398438                  |
| 337        | 0.033125             | 0.015625             | 4.398438                  |
| 338        | 0.036122             | 0.000000             | 4.398438                  |
| 339        | 0.034636             | 0.000000             | 4.398438                  |
| 340        | 0.031612             | 0.000000             | 4.398438                  |
| 341        | 0.035350             | 0.015625             | 4.398438                  |
| 342        | 0.031946             | 0.000000             | 4.398438                  |
| 343        | 0.033780             | 0.000000             | 4.398438                  |
| 344        | 0.032646             | 0.000000             | 4.398438                  |
| 345        | 0.033963             | 0.000000             | 4.398438                  |
| 346        | 0.035407             | 0.015625             | 4.398438                  |
| 347        | 0.031444             | 0.000000             | 4.398438                  |
